ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11344387,JB302575,06/10/2018 11:00:00 PM,071XX S LAFAYETTE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0731,007,6,69,14,1177070,1857769,2018,06/17/2018 03:50:56 PM,41.765054827,-87.626543898,"(41.765054827, -87.626543898)",31,21559,67,494,32,11,17,210
11343698,JB301571,06/10/2018 10:50:00 PM,041XX S INDIANA AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0213,002,3,38,04A,1178284,1877659,2018,06/17/2018 03:50:56 PM,41.819607434,-87.621490619,"(41.819607434, -87.621490619)",12,4301,4,163,9,36,24,102
11343711,JB301557,06/10/2018 10:45:00 PM,039XX S WESTERN AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,true,true,0921,009,12,58,04A,1161023,1878399,2018,06/17/2018 03:50:56 PM,41.822013036,-87.684790582,"(41.822013036, -87.684790582)",29,14924,55,718,1,56,23,110
11343703,JB301574,06/10/2018 10:45:00 PM,047XX W JACKSON BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1113,011,28,25,18,1144737,1898269,2018,06/17/2018 03:50:56 PM,41.876860798,-87.744037046,"(41.876860798, -87.744037046)",11,22216,26,69,23,32,16,90
11343976,JB301822,06/10/2018 10:45:00 PM,019XX S WELLS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0914,009,25,34,14,1175007,1890942,2018,06/17/2018 03:50:56 PM,41.856130929,-87.633114676,"(41.856130929, -87.633114676)",8,21194,35,3,26,40,23,157
11343678,JB301570,06/10/2018 10:45:00 PM,024XX W 63RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0825,008,15,66,15,1161269,1862816,2018,06/17/2018 03:50:56 PM,41.779246199,-87.684319758,"(41.779246199, -87.684319758)",44,21867,64,111,2,58,13,274
11343813,JB301558,06/10/2018 10:40:00 PM,003XX W 106TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0512,005,34,49,08B,1175906,1834302,2018,06/17/2018 03:50:56 PM,41.700684498,-87.631511638,"(41.700684498, -87.631511638)",45,21861,45,524,22,19,10,256
11343726,JB301544,06/10/2018 10:35:00 PM,109XX S STATE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0513,005,9,49,14,1178190,1832603,2018,06/17/2018 03:50:56 PM,41.695970822,-87.623199808,"(41.695970822, -87.623199808)",30,21861,45,237,43,19,10,260
11343776,JB301541,06/10/2018 10:32:00 PM,031XX S ARCHER AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,true,false,0912,009,11,59,08B,1166031,1884034,2018,06/17/2018 03:50:56 PM,41.83737086,-87.666257952,"(41.83737086, -87.666257952)",26,14920,56,192,1,43,23,165
11343641,JB301545,06/10/2018 10:30:00 PM,004XX S KOSTNER AVE,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,GAS STATION,true,false,1131,011,24,26,18,1147129,1897553,2018,06/17/2018 03:50:56 PM,41.874850606,-87.735272577,"(41.874850606, -87.735272577)",36,21572,27,716,23,30,16,143
11344602,JB302750,06/10/2018 10:30:00 PM,080XX S ARTESIAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0835,008,18,70,07,1161441,1851280,2018,06/17/2018 03:50:56 PM,41.747586178,-87.684008435,"(41.747586178, -87.684008435)",6,4300,69,243,30,8,13,226
11344121,JB302134,06/10/2018 10:30:00 PM,061XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),false,false,0311,003,20,40,14,1179974,1864416,2018,06/17/2018 03:50:56 PM,41.783228893,-87.615696668,"(41.783228893, -87.615696668)",53,22260,9,331,4,60,18,275
11344327,JB302455,06/10/2018 10:30:00 PM,100XX W OHARE ST,0890,THEFT,FROM BUILDING,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,false,false,1651,016,41,76,06,1100658,1934241,2018,06/17/2018 03:50:56 PM,41.976290414,-87.905227221,"(41.976290414, -87.905227221)",34,16197,75,668,29,38,12,24
11343652,JB301554,06/10/2018 10:30:00 PM,058XX S WOOD ST,0820,THEFT,$500 AND UNDER,TAVERN/LIQUOR STORE,false,false,0715,007,15,67,06,1165344,1866123,2018,06/17/2018 03:50:56 PM,41.78823566,-87.669286708,"(41.78823566, -87.669286708)",44,22257,65,385,3,23,17,270
11343663,JB301518,06/10/2018 10:29:00 PM,043XX S ELLIS AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,0222,002,4,39,08B,1183653,1876392,2018,06/17/2018 03:50:56 PM,41.81600695,-87.601834735,"(41.81600695, -87.601834735)",1,4301,5,395,10,36,24,113
11343679,JB301589,06/10/2018 10:27:00 PM,066XX S DAMEN AVE,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,RESIDENCE,false,false,0726,007,15,67,26,1164173,1860600,2018,06/17/2018 03:50:56 PM,41.773104562,-87.673735664,"(41.773104562, -87.673735664)",44,22257,65,282,3,23,17,205
11345006,JB301661,06/10/2018 10:20:00 PM,100XX W OHARE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,AIRPORT PARKING LOT,false,false,1651,016,41,76,07,1100658,1934241,2018,06/17/2018 03:50:56 PM,41.976290414,-87.905227221,"(41.976290414, -87.905227221)",34,16197,75,668,29,38,12,24
11343683,JB301595,06/10/2018 10:19:00 PM,034XX S EMERALD AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,APARTMENT,true,false,0915,009,11,60,18,1171863,1882064,2018,06/17/2018 03:50:56 PM,41.831838723,-87.644915866,"(41.831838723, -87.644915866)",26,21194,58,171,48,40,23,170
11344555,JB302752,06/10/2018 10:15:00 PM,004XX E RANDOLPH ST,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,false,false,0114,001,42,32,07,1179325,1901333,2018,06/17/2018 03:50:56 PM,41.884546689,-87.616947314,"(41.884546689, -87.616947314)",22,14309,38,580,36,42,22,87
11343668,JB301537,06/10/2018 10:15:00 PM,018XX W 47TH ST,0460,BATTERY,SIMPLE,STREET,false,false,0931,009,20,61,08B,1165057,1873525,2018,06/17/2018 03:50:56 PM,41.808553721,-87.670129634,"(41.808553721, -87.670129634)",53,14924,59,706,3,37,23,119
11344113,JB301997,06/10/2018 10:15:00 PM,005XX S KILBOURN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1131,011,24,26,14,1146474,1897159,2018,06/17/2018 03:50:56 PM,41.873781921,-87.737687526,"(41.873781921, -87.737687526)",36,21572,27,716,23,30,16,143
11343690,JB301565,06/10/2018 10:15:00 PM,001XX N MOZART ST,031A,ROBBERY,ARMED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),false,false,1222,012,2,27,03,1157371,1900725,2018,06/17/2018 03:50:56 PM,41.883352895,-87.697581796,"(41.883352895, -87.697581796)",48,21184,28,50,46,28,15,77
11344412,JB302502,06/10/2018 10:10:00 PM,029XX W WALTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1211,012,26,24,14,1156393,1906067,2018,06/17/2018 03:50:56 PM,41.898031667,-87.701028537,"(41.898031667, -87.701028537)",10,21560,25,544,49,4,15,64
11343902,JB301816,06/10/2018 10:00:00 PM,010XX W LAWRENCE AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1914,019,46,3,06,1168280,1932044,2018,06/17/2018 03:50:56 PM,41.969065116,-87.656615702,"(41.969065116, -87.656615702)",37,22616,31,241,39,15,2,14
11343849,JB301549,06/10/2018 10:00:00 PM,007XX S KEELER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1132,011,24,26,08B,1148506,1896298,2018,06/17/2018 03:50:56 PM,41.871380299,-87.730249139,"(41.871380299, -87.730249139)",36,21572,27,703,14,30,16,142
11343796,JB301548,06/10/2018 10:00:00 PM,080XX S DREXEL AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0631,006,8,44,08A,1183630,1851867,2018,06/17/2018 03:50:56 PM,41.748708708,-87.602683534,"(41.748708708, -87.602683534)",9,21546,40,247,35,61,20,235
11343837,JB301728,06/10/2018 10:00:00 PM,034XX S CALUMET AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0211,002,2,35,06,1179159,1882221,2018,06/17/2018 03:50:56 PM,41.832105979,-87.618141478,"(41.832105979, -87.618141478)",48,21194,1,190,10,40,24,169
11343977,JB301919,06/10/2018 10:00:00 PM,011XX N MONITOR AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,1511,015,29,25,06,1137149,1907009,2018,06/17/2018 03:50:56 PM,41.900984075,-87.771688247,"(41.900984075, -87.771688247)",52,4299,26,671,7,5,25,70
11345359,JB303741,06/10/2018 10:00:00 PM,020XX W 46TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0924,009,12,61,06,1163798,1874163,2018,06/17/2018 03:50:56 PM,41.810331035,-87.674729443,"(41.810331035, -87.674729443)",29,14924,59,706,3,37,23,108
11344068,JB302038,06/10/2018 10:00:00 PM,053XX N MASON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,1622,016,45,11,14,1135541,1934932,2018,06/17/2018 03:50:56 PM,41.977636537,-87.776928952,"(41.977636537, -87.776928952)",20,21869,11,780,50,48,12,43
11344389,JB302537,06/10/2018 10:00:00 PM,045XX S PAULINA ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0924,009,3,61,05,1165769,1874565,2018,06/17/2018 03:50:56 PM,41.811392492,-87.667488619,"(41.811392492, -87.667488619)",53,14924,59,738,3,37,23,108
11343635,JB301516,06/10/2018 09:56:00 PM,028XX W ARMITAGE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,SIDEWALK,true,false,1414,014,35,22,14,1156945,1913157,2018,06/17/2018 03:50:56 PM,41.917476041,-87.69880845,"(41.917476041, -87.69880845)",15,22535,23,322,41,1,7,182
11343664,JB301533,06/10/2018 09:56:00 PM,022XX W FULLERTON AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,true,false,1432,014,1,22,24,1161000,1915912,2018,06/17/2018 03:50:56 PM,41.924952658,-87.683833611,"(41.924952658, -87.683833611)",24,22535,23,240,41,1,7,180
11343741,JB301550,06/10/2018 09:54:00 PM,001XX E 75TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0323,003,6,69,15,1178634,1855322,2018,06/17/2018 03:50:56 PM,41.758304581,-87.620885702,"(41.758304581, -87.620885702)",31,21546,67,474,32,61,18,223
11346599,JB305301,06/10/2018 09:50:00 PM,029XX W WALTON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,true,1211,012,26,24,26,1156393,1906067,2018,06/17/2018 03:50:56 PM,41.898031667,-87.701028537,"(41.898031667, -87.701028537)",10,21560,25,544,49,4,15,64
11349010,JB307542,06/10/2018 09:50:00 PM,037XX W 51ST ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SIDEWALK,false,false,0822,008,23,62,11,,,2018,06/17/2018 03:50:56 PM,,,,,,,,,,,
11343677,JB301521,06/10/2018 09:49:00 PM,062XX N TROY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,true,true,2413,024,50,2,14,1154229,1941215,2018,06/17/2018 03:50:56 PM,41.994523749,-87.708034958,"(41.994523749, -87.708034958)",42,4450,20,30,27,50,11,52
